NodeNum,Inst,SEQ,Method,FlexLex,CP,Obj,Time,sel
15,15-PatPS_926_5130_1_2_1_1,926,TI,L,52.519997,65.75,4.893,15
15,15-PatPS_927_5130_2_3_2_2,927,TI,H,32.61,36.09,1.596,15_14
15,15-PatPS_928_5962_1_2_1_1,928,TI,L,37.82,43.76,3.928,8
15,15-PatPS_929_5962_2_3_2_2,929,TI,H,25.660002,27.6,1.41,15_9
15,15-PatPS_930_5051_1_2_1_1,930,TI,L,44.95,47.99,1.459,9
15,15-PatPS_931_5051_2_3_2_2,931,TI,H,17.279999,26.03,1.017,14_6
15,15-PatPS_932_5332_1_2_1_1,932,TI,L,35.57,40.87,1.264,13
15,15-PatPS_933_5332_2_3_2_2,933,TI,H,19.78,26.76,1.156,5_13
15,15-PatPS_934_5210_1_2_1_1,934,TI,L,37.66,46.06,3.26,4
15,15-PatPS_935_5210_2_3_2_2,935,TI,H,17.33,18.36,0.885,4_10
15,15-PatPS_936_5067_1_2_1_1,936,TI,L,54.07,62.37,2.983,5
15,15-PatPS_937_5067_2_3_2_2,937,TI,H,34.64,39.58,1.443,10_0
15,15-PatPS_938_5710_1_2_1_1,938,TI,L,34.86,45.99,4.673,13
15,15-PatPS_939_5710_2_3_2_2,939,TI,H,17.210001,21.38,1.51,1_8
15,15-PatPS_940_5548_1_2_1_1,940,TI,L,45.79,52.76,2.783,15
15,15-PatPS_941_5548_2_3_2_2,941,TI,H,33.769997,33.77,1.076,15_3
15,15-PatPS_942_5915_1_2_1_1,942,TI,L,33.27,40.31,1.296,4
15,15-PatPS_943_5915_2_3_2_2,943,TI,H,8.13,13.31,1.921,10_7
15,15-PatPS_944_5138_1_2_1_1,944,TI,L,33.97,46.65,4.393,6
15,15-PatPS_945_5138_2_3_2_2,945,TI,H,20.35,26.98,1.42,4_8
15,15-PatPS_946_5043_1_2_1_1,946,TI,L,51.19,58.2,2.945,5
15,15-PatPS_947_5043_2_3_2_2,947,TI,H,30.760002,31.83,0.996,15_0
15,15-PatPS_948_5668_1_2_1_1,948,TI,L,45.629997,45.63,0.748,7
15,15-PatPS_949_5668_2_3_2_2,949,TI,H,16.07,19.07,1.419,2_13
15,15-PatPS_950_5432_1_2_1_1,950,TI,L,44.050003,46.23,1.172,5
15,15-PatPS_951_5432_2_3_2_2,951,TI,H,15.360001,15.83,1.208,13_0
15,15-PatPS_952_5790_1_2_1_1,952,TI,L,24.04,36.93,13.162,5
15,15-PatPS_953_5790_2_3_2_2,953,TI,H,14.679999,24.42,3.333,14_8
15,15-PatPS_954_5457_1_2_1_1,954,TI,L,33.56,38.85,2.609,6
15,15-PatPS_955_5457_2_3_2_2,955,TI,H,8.72,13.75,2.29,6_8
